racine;etc racine;portefeuille nv1;etc nv1;programme nv2;etc nv2;projet nv3;etc nv3;lien
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 1;217;;;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 2;215;;;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 3;139;;;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 4;129;Projet Alpha 4.1;19;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 4;129;Projet Alpha 4.2;46;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 4;129;Projet Alpha 4.3;54;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 4;129;Autres Alpha 4;10;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 5;52;Projet Alpha 5.1;40;
Programmes Lambda;8901;Portefeuille Alpha;752;Programme Alpha 5;52;Autres Alpha 5;12;
Programmes Lambda;8901;Portefeuille Bravo;6500;Programme Bravo 1;1400;;;
Programmes Lambda;8901;Portefeuille Bravo;6500;Programme Bravo 2;4800;;;
Programmes Lambda;8901;Portefeuille Bravo;6500;Programme Bravo 3;300;;;
Programmes Lambda;8901;Portefeuille Charlie;455;Programme Charlie 1;11;;;
Programmes Lambda;8901;Portefeuille Charlie;455;Programme Charlie 2;82;Projet Charlie 2.1;29;
Programmes Lambda;8901;Portefeuille Charlie;455;Programme Charlie 2;82;Autres Charlie 2;53;
Programmes Lambda;8901;Portefeuille Charlie;455;Programme Charlie 3;361;;;
Programmes Lambda;8901;Portefeuille Charlie;455;Programme Charlie 4;1;;;
Programmes Lambda;8901;Portefeuille Delta;643;Programme Delta 1;444;Projet Delta 1.1;295;
Programmes Lambda;8901;Portefeuille Delta;643;Programme Delta 1;444;Autres Delta 1;149;
Programmes Lambda;8901;Portefeuille Delta;643;Programme Delta 2;84;;;
Programmes Lambda;8901;Portefeuille Delta;643;Programme Delta 3;70;;;
Programmes Lambda;8901;Portefeuille Delta;643;Programme Delta 4;45;;;
Programmes Lambda;8901;Portefeuille Echo;551;Programme Echo 1;177;;;
Programmes Lambda;8901;Portefeuille Echo;551;Programme Echo 2;100;;;
Programmes Lambda;8901;Portefeuille Echo;551;Programme Echo 3;170;;;
Programmes Lambda;8901;Portefeuille Echo;551;Programme Echo 4;104;;;
